EntrezID	Gene_Symbol	all_GeneEffect_avg	all_GeneEffect_median	all_GeneDependency_avg	all_GeneDependency_median
1	A1BG	-0.0493734059756819	-0.0350351699064463	0.044665790505477	0.0371208429757473
29974	A1CF	-0.0344447425112503	-0.0258114078360011	0.039343557148312	0.0283250770229591
2	A2M	0.0452717532279795	0.0377038766733233	0.0211421213756544	0.0130701420706813
144568	A2ML1	0.106581648369777	0.115104328046654	0.0130821563908304	0.0098071004387313
127550	A3GALT2	-0.143055773687234	-0.119996067275676	0.104079908188315	0.075591624845661
53947	A4GALT	-0.072172180973915	-0.0588004301818153	0.0554258665892077	0.0406355466106751
51146	A4GNT	0.0892607432700616	0.0731965419832193	0.0129119656285472	0.011504498470244
8086	AAAS	-0.246306757002331	-0.240639277207753	0.199342152860662	0.160213407436608
65985	AACS	0.0172685667242879	0.0237722487084804	0.0272792348433858	0.020399748420359
13	AADAC	0.134453688607902	0.131603613589546	0.00875049722369046	0.006349898058648
344752	AADACL2	0.00116018948866581	0.0025298444773312	0.036632492094635	0.024449190817368
126767	AADACL3	0.0214849782724249	0.0431030203273973	0.0286038707662112	0.016038512953014
343066	AADACL4	0.0485478350257468	0.0446221109324463	0.0178137600977421	0.0137930817436
51166	AADAT	-0.0469473387364983	-0.0469465884419473	0.0441919149011676	0.0339343721449122
79719	AAGAB	-0.00897243198002064	-0.0094819889703632	0.0391755758217543	0.0237278410397556
22848	AAK1	-0.127081899240716	-0.124765880109286	0.0822656117833088	0.058463297870596
28971	AAMDC	-0.0255957691660738	-0.0460946034201931	0.0348848913920574	0.0327899499714021
14	AAMP	-1.15392647645292	-1.18459012793059	0.915857477434111	0.976904932997313
15	AANAT	-0.152111945303102	-0.144527830345591	0.0984727398700986	0.0793101500286233
25980	AAR2	-0.0143787916272043	-0.015589638246765	0.0392785470674192	0.0253559364639398
441376	AARD	-0.226862201848161	-0.232766229156179	0.166626157154608	0.154886501952124
16	AARS1	-1.96733968735797	-1.95440636922982	0.998077548977422	1
57505	AARS2	-0.402546232383119	-0.368875045589631	0.410594326275419	0.314067857760107
80755	AARSD1	-0.213871121668013	-0.210854872992173	0.154783231776235	0.127644019275973
132949	AASDH	-0.0661922789331741	-0.06697186350921	0.0501054151276351	0.0388064366910417
60496	AASDHPPT	-0.208072079008183	-0.177247451346918	0.219005255042048	0.082307401166172
10157	AASS	0.0269081159951625	0.0242749406899181	0.0266032450637811	0.0158384522307424
26574	AATF	-0.825964599044825	-0.841929756742424	0.829298221632739	0.908052802717827
9625	AATK	-0.15604353516313	-0.150560788874186	0.102938072198806	0.083546516736159
18	ABAT	0.0352641303649917	0.0344134337560639	0.0229721074459093	0.0160807588455113
19	ABCA1	-0.0346085742442413	-0.0289670429963079	0.0374198283652719	0.0336711049552423
10349	ABCA10	-0.0246835668883657	-0.0335604309074828	0.0428396817305409	0.0265323006039975
26154	ABCA12	0.0121668879881847	0.006400191570041	0.0288316297846101	0.0233873363462422
154664	ABCA13	0.00975625330567578	0.0263194434989059	0.0293954228110656	0.0191536767519833
20	ABCA2	-0.0330836032153094	-0.0319954642131089	0.0388695388786878	0.0300350293127193
21	ABCA3	-0.0286079134060335	-0.0275108971060312	0.035082188997676	0.0313659691899351
24	ABCA4	-0.229748677962332	-0.229516476902804	0.170128077597144	0.148211664349872
23461	ABCA5	0.0434648321647366	0.0291001345039034	0.0201868013902205	0.0155942456724675
23460	ABCA6	0.0786261430330776	0.0684127161863168	0.0163568349620906	0.0100550137820364
10347	ABCA7	0.0512483602251602	0.0615209901532511	0.0186043354377104	0.0117212725380584
10351	ABCA8	-0.0262512211690052	-0.0176555349760279	0.0360243264061177	0.0272835849677217
10350	ABCA9	0.136459404803187	0.129291318782812	0.0102579406664353	0.0068040145124387
5243	ABCB1	-0.0974381209093369	-0.098096278477186	0.0689176172104921	0.0520614366994549
23456	ABCB10	-0.0218550895804754	-0.0159822775338026	0.0423669150429017	0.0271079256497924
8647	ABCB11	-0.0572991498976401	-0.050257075749543	0.0427107395224487	0.0352516725360389
5244	ABCB4	-0.0558578334159786	-0.0599865140020296	0.0454422336566602	0.0336041247872126
340273	ABCB5	-0.000821559089904077	-0.0046820225685353	0.0338124021048185	0.0232609152872273
10058	ABCB6	0.0526143879706616	0.0455560108105393	0.0171410417246126	0.0133231895301765
22	ABCB7	-1.17340984992271	-1.1856045551937	0.947457342419964	0.970310311428288
11194	ABCB8	0.0519813010738075	0.0579863837449259	0.0190298911986162	0.0160896133502509
23457	ABCB9	-0.0555546711220951	-0.0626096416707368	0.0480980230209609	0.0431282142454759
4363	ABCC1	0.00576971073503645	0.010229297331209	0.0284716779435172	0.0213364102701974
89845	ABCC10	-0.177506713372391	-0.170389310317972	0.123320324008802	0.0950209864735868
85320	ABCC11	0.0429165809741393	0.042030462956541	0.0191174706288433	0.0167333091791134
94160	ABCC12	0.0448768023142487	0.049635008710426	0.0182742965800418	0.0140328189459571
1244	ABCC2	-0.027538584150706	-0.0161846923379674	0.0418829633676426	0.0257706725611214
8714	ABCC3	-0.0753064868500529	-0.0714069548386567	0.0576898396548372	0.0409178246614606
10257	ABCC4	0.148228325869611	0.127997849490903	0.00939554059967984	0.0071885682356277
10057	ABCC5	0.00930994007859298	0.0104866150082683	0.0281368072881697	0.0189132522443525
368	ABCC6	-0.0608519131600226	-0.0644528955238266	0.0529488887669172	0.0499104435161173
6833	ABCC8	0.0554670592106149	0.0445974605319721	0.0189923143796272	0.0122016693212265
